functionname,protocol,device,subdevice,function
1,Mitsubishi,71,-1,0
TV1,Mitsubishi,71,-1,0
9,Mitsubishi,71,-1,1
TV9,Mitsubishi,71,-1,1
POWER,Mitsubishi,71,-1,2
TV_POWER,Mitsubishi,71,-1,2
ST/SAP/MONO,Mitsubishi,71,-1,3
COLOR+,Mitsubishi,71,-1,4
EXTERNAL1,Mitsubishi,71,-1,5
CANCEL,Mitsubishi,71,-1,7
TV_CANCEL,Mitsubishi,71,-1,7
TV,Mitsubishi,71,-1,7
2,Mitsubishi,71,-1,8
TV2,Mitsubishi,71,-1,8
0,Mitsubishi,71,-1,9
TV0,Mitsubishi,71,-1,9
CHANNEL+,Mitsubishi,71,-1,10
CHANNEL+,Mitsubishi,71,-1,10
SCAN_^_(CH_^),Mitsubishi,71,-1,10
TV_CHANNEL+,Mitsubishi,71,-1,10
SCAN_^(CH_^),Mitsubishi,71,-1,10
CHANNEL+,Mitsubishi,71,-1,10
RESET,Mitsubishi,71,-1,11
COLOR-,Mitsubishi,71,-1,12
EXTERNAL2,Mitsubishi,71,-1,13
QUICK_VIEW,Mitsubishi,71,-1,15
Q/V,Mitsubishi,71,-1,15
QV,Mitsubishi,71,-1,15
TV_QV,Mitsubishi,71,-1,15
Q.V.,Mitsubishi,71,-1,15
Q/V,Mitsubishi,71,-1,15
RCL,Mitsubishi,71,-1,15
3,Mitsubishi,71,-1,16
TV3,Mitsubishi,71,-1,16
CHANNEL-,Mitsubishi,71,-1,18
CHANNEL-,Mitsubishi,71,-1,18
SCAN_V_(CH_V),Mitsubishi,71,-1,18
TV_CHANNEL-,Mitsubishi,71,-1,18
SCAN_V(CH_V),Mitsubishi,71,-1,18
CHANNEL-,Mitsubishi,71,-1,18
EXP,Mitsubishi,71,-1,19
AUDIO_EXPANSION,Mitsubishi,71,-1,19
OFF-T,Mitsubishi,71,-1,23
TIMER,Mitsubishi,71,-1,23
OFF-T/OTR,Mitsubishi,71,-1,23
TV_SLEEP,Mitsubishi,71,-1,23
SLEEP,Mitsubishi,71,-1,23
4,Mitsubishi,71,-1,24
TV4,Mitsubishi,71,-1,24
INPUT-,Mitsubishi,71,-1,26
ANT_A/B,Mitsubishi,71,-1,26
INPUT:V,Mitsubishi,71,-1,26
ANTENNA,Mitsubishi,71,-1,26
DISPLAY,Mitsubishi,71,-1,27
DISP,Mitsubishi,71,-1,27
TV_INFO,Mitsubishi,71,-1,27
INFO,Mitsubishi,71,-1,27
DISPLAY_RECALL,Mitsubishi,71,-1,27
CHANNEL_LOCK,Mitsubishi,71,-1,31
5,Mitsubishi,71,-1,32
TV5,Mitsubishi,71,-1,32
VOLUME+,Mitsubishi,71,-1,34
VOLUME+,Mitsubishi,71,-1,34
VOLUME+,Mitsubishi,71,-1,34
VOLUME+,Mitsubishi,71,-1,34
CONTRAST+,Mitsubishi,71,-1,35
6,Mitsubishi,71,-1,40
TV6,Mitsubishi,71,-1,40
VOLUME-,Mitsubishi,71,-1,42
VOLUME-,Mitsubishi,71,-1,42
VOLUME-,Mitsubishi,71,-1,42
VOLUME-,Mitsubishi,71,-1,42
CONTRAST-,Mitsubishi,71,-1,43
MONO,Mitsubishi,71,-1,47
7,Mitsubishi,71,-1,48
TV7,Mitsubishi,71,-1,48
INPUT:;VGA,Mitsubishi,71,-1,49
MUTE,Mitsubishi,71,-1,50
MUTING,Mitsubishi,71,-1,50
AV_MEMORY,Mitsubishi,71,-1,51
TINT+,Mitsubishi,71,-1,51
ENTER,Mitsubishi,71,-1,53
ENTER/EXCH,Mitsubishi,71,-1,53
TV_ENTER,Mitsubishi,71,-1,53
EXCH,Mitsubishi,71,-1,53
SUB,Mitsubishi,71,-1,54
SAP,Mitsubishi,71,-1,55
8,Mitsubishi,71,-1,56
TV8,Mitsubishi,71,-1,56
ANT_A/B,Mitsubishi,71,-1,57
INPUT+,Mitsubishi,71,-1,58
TV/EXT1/2,Mitsubishi,71,-1,58
INPUT:^,Mitsubishi,71,-1,58
TV_INPUT,Mitsubishi,71,-1,58
INPUT:,Mitsubishi,71,-1,58
DEVICE,Mitsubishi,71,-1,58
INPUT:SOURCE,Mitsubishi,71,-1,58
TINT-,Mitsubishi,71,-1,59
FORMAT,Mitsubishi,71,-1,62
STEREO,Mitsubishi,71,-1,63
VIDEO+,Mitsubishi,71,-1,64
VIDEO,Mitsubishi,71,-1,64
TV_VIDEO,Mitsubishi,71,-1,64
UP,Mitsubishi,71,-1,65
ADJUST_^,Mitsubishi,71,-1,65
UP,Mitsubishi,71,-1,65
TV_ADJUST_^,Mitsubishi,71,-1,65
ADJUST,Mitsubishi,71,-1,65
UP,Mitsubishi,71,-1,65
ON,Mitsubishi,71,-1,66
POWER_ON,Mitsubishi,71,-1,66
FUNCTION,Mitsubishi,71,-1,67
FUNCTION_<,Mitsubishi,71,-1,69
VIDEO-,Mitsubishi,71,-1,72
DOWN,Mitsubishi,71,-1,73
ADJUST_V,Mitsubishi,71,-1,73
DOWN,Mitsubishi,71,-1,73
TV_EXCH_V,Mitsubishi,71,-1,73
TV_ADJUST_V,Mitsubishi,71,-1,73
DOWN,Mitsubishi,71,-1,73
OFF,Mitsubishi,71,-1,74
POWER_OFF,Mitsubishi,71,-1,74
ANT_B,Mitsubishi,71,-1,76
INPUT:ANTENNAB,Mitsubishi,71,-1,76
SQV,Mitsubishi,71,-1,78
TV_SQV,Mitsubishi,71,-1,78
AUDIO_^,Mitsubishi,71,-1,80
AUDIO,Mitsubishi,71,-1,80
TV_AUDIO,Mitsubishi,71,-1,80
MENU,Mitsubishi,71,-1,82
TV_MENU,Mitsubishi,71,-1,82
MUNU,Mitsubishi,71,-1,82
UNKNOWN_#2,Mitsubishi,71,-1,84
AUDIO_V,Mitsubishi,71,-1,88
INPUT:;VIDEO5,Mitsubishi,71,-1,89
ANT_A,Mitsubishi,71,-1,90
