functionname,protocol,device,subdevice,function
DUAL,NECx,7,7,0
KEY_CYCLEWINDOWS,NECx,7,7,1
KEY_POWER,NECx,7,7,2
KEY_SLEEP,NECx,7,7,3
KEY_1,NECx,7,7,4
KEY_2,NECx,7,7,5
KEY_3,NECx,7,7,6
KEY_VOLUMEUP,NECx,7,7,7
KEY_4,NECx,7,7,8
KEY_5,NECx,7,7,9
KEY_6,NECx,7,7,10
KEY_VOLUMEDOWN,NECx,7,7,11
KEY_7,NECx,7,7,12
KEY_8,NECx,7,7,13
KEY_9,NECx,7,7,14
KEY_MUTE,NECx,7,7,15
KEY_CHANNELDOWN,NECx,7,7,16
KEY_0,NECx,7,7,17
KEY_CHANNELUP,NECx,7,7,18
PRE-CH,NECx,7,7,19
S.MODE,NECx,7,7,20
STILL,NECx,7,7,21
P.SIZE,NECx,7,7,22
KEY_MENU,NECx,7,7,26
KEY_TV,NECx,7,7,27
KEY_INFO,NECx,7,7,31
PIP,NECx,7,7,32
PIP.POSITION,NECx,7,7,34
KEY_102ND,NECx,7,7,35
PIP.SOURCE,NECx,7,7,36
TTX/MIX,NECx,7,7,44
KEY_EXIT,NECx,7,7,45
PIP.chan+,NECx,7,7,50
PIP.chan-,NECx,7,7,51
KEY_ENTER,NECx,7,7,88
KEY_UP,NECx,7,7,96
KEY_DOWN,NECx,7,7,97
KEY_RIGHT,NECx,7,7,98
KEY_LEFT,NECx,7,7,101
KEY_ENTER,NECx,7,7,104
CHLIST,NECx,7,7,107
P.MODE,NECx,7,7,108
SRS,NECx,7,7,110
E.SAVING,NECx,7,7,119
HDMI,NECx,7,7,139
