functionname,protocol,device,subdevice,function
SLEEP,JVC,163,-1,3
WAKE UP/SLEEP,JVC,163,-1,3
INPUT: FM/AM,JVC,163,-1,11
TUNER,JVC,163,-1,11
POWER,JVC,163,-1,23
FADE MUTING,JVC,163,-1,28
VOLUME +,JVC,163,-1,30
VOL+,JVC,163,-1,30
VOLUME -,JVC,163,-1,31
VOL-,JVC,163,-1,31
,JVC,163,-1,40
BASS,JVC,163,-1,49
TREBLE,JVC,163,-1,55
SEA MODE,JVC,163,-1,56
PHONO,JVC,163,-1,60
INPUT: MD/AUX,JVC,163,-1,62
AUX,JVC,163,-1,62
LIVE-S MODE,JVC,163,-1,88
FM MODE,JVC,163,-1,90
DISPLAY,JVC,163,-1,112
AHB PRO,JVC,163,-1,117
AUTO PRESET,JVC,163,-1,119
