functionname,protocol,device,subdevice,function
VCR_RECORD,JVC,67,-1,2
VCR_STOP,JVC,67,-1,3
VCR_FFWD,JVC,67,-1,6
VCR_REWIND,JVC,67,-1,7
VCR_POWER,JVC,67,-1,11
VCR_PLAY,JVC,67,-1,12
VCR_PAUSE,,,JVC,67,-1,13
VCR_CHANNEL-,JVC,67,-1,24
VCR_CHANNEL+,JVC,67,-1,25
SP/EP,JVC,67,-1,49
TIMER,JVC,67,-1,53
CANCEL/C.RESET/SKIP,JVC,67,-1,54
MENU,JVC,67,-1,55
DISPLAY,JVC,67,-1,56
SELECT,JVC,67,-1,60
ENTER/OSD,JVC,67,-1,62
MEMORY/ADD,JVC,67,-1,144
SKIP_SEARCH,JVC,67,-1,150
RE-VIEW,JVC,67,-1,195
VCR_RECORD(REC&PLAY),JVC,67,-1,204
