functionname,protocol,device,subdevice,function
CHANNEL+,NEC,4,-1,0
CHANNEL-,NEC,4,-1,1
VOLUME+,NEC,4,-1,2
VOLUME-,NEC,4,-1,3
RIGHT,NEC,4,-1,6
LEFT,NEC,4,-1,7
POWER,NEC,4,-1,8
MUTE,NEC,4,-1,9
SAP,NEC,4,-1,10
TV-VIDEO,NEC,4,-1,11
TIMER,NEC,4,-1,14
0,NEC,4,-1,16
1,NEC,4,-1,17
2,NEC,4,-1,18
3,NEC,4,-1,19
4,NEC,4,-1,20
5,NEC,4,-1,21
6,NEC,4,-1,22
7,NEC,4,-1,23
8,NEC,4,-1,24
9,NEC,4,-1,25
CC,NEC,4,-1,57
UP,NEC,4,-1,64
DOWN,NEC,4,-1,65
MENU,NEC,4,-1,67
ENTER,NEC,4,-1,68
VIDEO,NEC,4,-1,77
SOUND,NEC,4,-1,82
EXIT,NEC,4,-1,91
PIP,NEC,4,-1,96
PIPINPUT,NEC,4,-1,97
SWAP,NEC,4,-1,99
FREEZE,NEC,4,-1,101
PIPCH+,NEC,4,-1,113
PIPCH-,NEC,4,-1,114
RATIO,NEC,4,-1,121
ZOOM,NEC,4,-1,123
SIGNAL,NEC,4,-1,150
COMP-RGB-DVI,NEC,4,-1,152
INFO,NEC,4,-1,170
ADJUST,NEC,4,-1,203
