functionname,protocol,device,subdevice,function
KEY_STOP,Panasonic,176,0,0
KEY_OPEN,Panasonic,176,0,1
KEY_REWIND,Panasonic,176,0,4
KEY_FASTFORWARD,Panasonic,176,0,5
KEY_PAUSE,Panasonic,176,0,6
KEY_PLAY,Panasonic,176,0,10
KEY_1,Panasonic,176,0,16
KEY_2,Panasonic,176,0,17
KEY_3,Panasonic,176,0,18
KEY_4,Panasonic,176,0,19
KEY_5,Panasonic,176,0,20
KEY_6,Panasonic,176,0,21
KEY_7,Panasonic,176,0,22
KEY_8,Panasonic,176,0,23
KEY_9,Panasonic,176,0,24
KEY_0,Panasonic,176,0,25
KEY_AUDIO,Panasonic,176,0,51
KEY_SLEEP,Panasonic,176,0,61
A-B_REPEAT,Panasonic,176,0,72
SKIP_BACK,Panasonic,176,0,73
SKIP_FORWARD,Panasonic,176,0,74
KEY_MENU,Panasonic,176,0,128
KEY_ENTER,Panasonic,176,0,129
KEY_ENTER,Panasonic,176,0,130
KEY_CANCEL,Panasonic,176,0,131
KEY_UP,Panasonic,176,0,133
KEY_DOWN,Panasonic,176,0,134
KEY_LEFT,Panasonic,176,0,135
KEY_RIGHT,Panasonic,176,0,136
>10,Panasonic,176,0,137
REPEAT_MODE,Panasonic,176,0,140
KEY_PLAY,Panasonic,176,0,141
KEY_ANGLE,Panasonic,176,0,144
KEY_SUBTITLE,Panasonic,176,0,145
DISPLAY,Panasonic,176,0,146
KEY_SETUP,Panasonic,176,0,148
TOP_MENU,Panasonic,176,0,155
V.S.S,Panasonic,176,0,158
