functionname,protocol,device,subdevice,function
KEY_0,NEC,182,-1,0
KEY_1,NEC,182,-1,1
KEY_2,NEC,182,-1,2
KEY_3,NEC,182,-1,3
KEY_4,NEC,182,-1,4
KEY_5,NEC,182,-1,5
KEY_6,NEC,182,-1,6
KEY_7,NEC,182,-1,7
KEY_8,NEC,182,-1,8
KEY_9,NEC,182,-1,9
KEY_10CHANNELSUP,NEC,182,-1,10
KEY_STOP,NEC,182,-1,17
KEY_PLAY,NEC,182,-1,19
KEY_BACK,NEC,182,-1,20
KEY_FORWARD,NEC,182,-1,21
KEY_LAST,NEC,182,-1,22
KEY_NEXT,NEC,182,-1,23
KEY_CLEAR,NEC,182,-1,26
check,NEC,182,-1,27
p.mode,NEC,182,-1,31
KEY_SPACE,NEC,182,-1,66
KEY_AGAIN,NEC,182,-1,67
KEY_DOWN,NEC,182,-1,72
KEY_UP,NEC,182,-1,73
KEY_EDIT,NEC,182,-1,74
random,NEC,182,-1,79
peak_search,NEC,182,-1,141
KEY_POWER,NEC,182,-1,145
