functionname,protocol,device,subdevice,function
KEY_0,NEC,182,-1,0
KEY_1,NEC,182,-1,1
KEY_2,NEC,182,-1,2
KEY_3,NEC,182,-1,3
KEY_4,NEC,182,-1,4
KEY_5,NEC,182,-1,5
KEY_6,NEC,182,-1,6
KEY_7,NEC,182,-1,7
KEY_8,NEC,182,-1,8
KEY_9,NEC,182,-1,9
KEY_10CHANNELSUP,NEC,182,-1,10
KEY_OPEN,NEC,182,-1,16
__,NEC,182,-1,17
>/||,NEC,182,-1,19
KEY_REWIND,NEC,182,-1,20
KEY_FORWARD,NEC,182,-1,21
KEY_PREVIOUS,NEC,182,-1,22
KEY_NEXT,NEC,182,-1,23
TIME_DISP.,NEC,182,-1,24
KEY_AGAIN,NEC,182,-1,25
KEY_CLEAR,NEC,182,-1,26
CHECK,NEC,182,-1,27
P.MODE,NEC,182,-1,31
RANDOM,NEC,182,-1,79
KEY_P,NEC,182,-1,80
DISC_SELECTOR-1,NEC,182,-1,81
DISC_SELECTOR-2,NEC,182,-1,82
DISC_SELECTOR-3,NEC,182,-1,83
DISC_SELECTOR-4,NEC,182,-1,84
DISC_SELECTOR-5,NEC,182,-1,85
DISC_SELECTOR-6,NEC,182,-1,86
