functionname,protocol,device,subdevice,function
KEY_OPEN,NEC,130,114,32
KEY_POWER,NEC,130,114,33
OFF,NEC,130,114,34
KEY_TITLE,NEC,130,114,35
KEY_MENU,NEC,130,114,36
KEY_ENTER,NEC,130,114,37
KEY_UP,NEC,130,114,38
KEY_DOWN,NEC,130,114,39
KEY_LEFT,NEC,130,114,40
KEY_RIGHT,NEC,130,114,41
KEY_ENTER,NEC,130,114,42
KEY_PLAY,NEC,130,114,43
KEY_PAUSE,NEC,130,114,44
KEY_STOP,NEC,130,114,45
SearchBack,NEC,130,114,46
SearchForward,NEC,130,114,47
Prev.,NEC,130,114,48
KEY_NEXT,NEC,130,114,49
KEY_SUBTITLE,NEC,130,114,51
KEY_SUBTITLE,NEC,130,114,52
KEY_AUDIO,NEC,130,114,53
KEY_ANGLE,NEC,130,114,54
Status,NEC,130,114,57
SlowBack,NEC,130,114,58
SlowForward,NEC,130,114,59
StepBack,NEC,130,114,60
StepForward,NEC,130,114,61
KEY_0,NEC,130,114,96
KEY_1,NEC,130,114,97
KEY_2,NEC,130,114,98
KEY_3,NEC,130,114,99
KEY_4,NEC,130,114,100
KEY_5,NEC,130,114,101
KEY_6,NEC,130,114,102
KEY_7,NEC,130,114,103
KEY_8,NEC,130,114,104
KEY_9,NEC,130,114,105
Prog.,NEC,130,114,106
Check,NEC,130,114,107
KEY_CLEAR,NEC,130,114,108
Random,NEC,130,114,109
KEY_AGAIN,NEC,130,114,110
A-B,NEC,130,114,111
