functionname,protocol,device,subdevice,function
KEY_STOP,Panasonic,144,0,0
KEY_REWIND,Panasonic,144,0,2
KEY_FASTFORWARD,Panasonic,144,0,3
PAUSE/STILL,Panasonic,144,0,6
KEY_RECORD,Panasonic,144,0,8
KEY_PLAY,Panasonic,144,0,10
REV.PLAY,Panasonic,144,0,11
STILL-ADV,Panasonic,144,0,12
KEY_1,Panasonic,144,0,16
KEY_2,Panasonic,144,0,17
KEY_3,Panasonic,144,0,18
KEY_4,Panasonic,144,0,19
KEY_5,Panasonic,144,0,20
KEY_6,Panasonic,144,0,21
KEY_7,Panasonic,144,0,22
KEY_8,Panasonic,144,0,23
KEY_9,Panasonic,144,0,24
KEY_0,Panasonic,144,0,25
KEY_AUDIO,Panasonic,144,0,51
KEY_102ND,Panasonic,144,0,59
VTR,Panasonic,144,0,61
INDEX,Panasonic,144,0,64
TIME-SEARCH,Panasonic,144,0,68
WRITE,Panasonic,144,0,75
ERASE,Panasonic,144,0,76
MEMORY,Panasonic,144,0,83
RESET,Panasonic,144,0,84
REMAIN,Panasonic,144,0,85
CLOCK/COUNTER,Panasonic,144,0,86
KEY_SEARCH,Panasonic,144,0,129
SEARCH+,Panasonic,144,0,142
SEARCH-,Panasonic,144,0,143
MONITOR,Panasonic,144,0,145
