functionname,protocol,device,subdevice,function
KEY_CHANNELUP,NEC,4,-1,0
KEY_CHANNELDOWN,NEC,4,-1,1
KEY_VOLUMEUP,NEC,4,-1,2
KEY_VOLUMEDOWN,NEC,4,-1,3
KEY_POWER,NEC,4,-1,8
KEY_MUTE,NEC,4,-1,9
tv/video,NEC,4,-1,11
picture,NEC,4,-1,12
KEY_SLEEP,NEC,4,-1,14
KEY_0,NEC,4,-1,16
KEY_1,NEC,4,-1,17
KEY_2,NEC,4,-1,18
KEY_3,NEC,4,-1,19
KEY_4,NEC,4,-1,20
KEY_5,NEC,4,-1,21
KEY_6,NEC,4,-1,22
KEY_7,NEC,4,-1,23
KEY_8,NEC,4,-1,24
KEY_9,NEC,4,-1,25
review,NEC,4,-1,26
fcr,NEC,4,-1,30
caption,NEC,4,-1,57
KEY_MENU,NEC,4,-1,67
KEY_ENTER,NEC,4,-1,68
apc,NEC,4,-1,77
autoprg,NEC,4,-1,84
memory/erase,NEC,4,-1,85
wide/zoom,NEC,4,-1,121
