functionname,protocol,device,subdevice,function
RETURN,NEC1,5,122,0
A-B,NEC1,5,122,2
NOTE,NEC1,5,122,3
=AU,NEC1,5,122,4
MNO,NEC1,5,122,5
STOP,NEC1,5,122,6
PAUSE,NEC1,5,122,7
PLAY,NEC1,5,122,7
=AO,NEC1,5,122,8
PQR,NEC1,5,122,9
FF,NEC1,5,122,10
ECHO -,NEC1,5,122,11
JKL,NEC1,5,122,14
CURSOR DOWN,NEC1,5,122,15
..?,NEC1,5,122,16
REPEAT,NEC1,5,122,17
ANGLE,NEC1,5,122,18
1,NEC1,5,122,19
2,NEC1,5,122,20
3,NEC1,5,122,21
4,NEC1,5,122,22
5,NEC1,5,122,23
6,NEC1,5,122,24
7,NEC1,5,122,25
8,NEC1,5,122,26
9,NEC1,5,122,27
0,NEC1,5,122,29
CLEAR,NEC1,5,122,30
CURSOR LEFT,NEC1,5,122,31
CURSOR ENTER,NEC1,5,122,64
EDIT,NEC1,5,122,65
+10,NEC1,5,122,66
SYSTEM,NEC1,5,122,67
SUBTL,NEC1,5,122,68
DEF,NEC1,5,122,69
MENU,NEC1,5,122,70
VOLUME -,NEC1,5,122,71
STORE,NEC1,5,122,72
VOLUME +,NEC1,5,122,73
SHARP,NEC1,5,122,74
MUTE,NEC1,5,122,75
FLAT,NEC1,5,122,76
MIC-,NEC1,5,122,77
MIC+,NEC1,5,122,78
ECHO +,NEC1,5,122,79
REW,NEC1,5,122,80
CURSOR UP,NEC1,5,122,81
SKIP <<,NEC1,5,122,82
SKIP >>,NEC1,5,122,83
ABC,NEC1,5,122,84
CURSOR RIGHT,NEC1,5,122,85
DISPLAY,NEC1,5,122,86
GHI,NEC1,5,122,87
GOTO,NEC1,5,122,88
SETUP,NEC1,5,122,90
STU,NEC1,5,122,91
VWX,NEC1,5,122,92
YZ,NEC1,5,122,93
SPACE,NEC1,5,122,94
REC,NEC1,5,122,95
